worksheet_id,order_id,worksheet_channel,business_type_name,customer_type,dict_id,dict_name,justificativa,resolutividade,nps,comentario
360287970252764315,0.00,CAT,Pop,driver,550172727,Não consigo alterar meu telefone,Solução do problema,Não,0,
360287970254413171,0.00,CAT,Pop,driver,550173023,PayPaxx | Não consigo usar o saldo do Cartão99,Solução do problema,Não,2,
360287970255190109,87965509988718.00,SELF HELP,Pop,passenger,550175331,achados e perdidos,AtendimeNão da equipe 99,Sim,10,Bom  so enviar corrida de valor justo
360287970255343900,87965334353698.00,HELP CENTER,Pop,passenger,960008704,Não consigo solicitar corridas com pagameNão em Voucher,Tempo de espera para ser chamado,Não,0,Acho que precisa melhorar a nossa Solução nas ruas e as corridas em dinheiro que estão da Não alguns problemas na hora do passageiro pagar
360287970255422004,0.00,PHONE,Pop,driver,550172751,Não consigo cadastrar meu veículo,Solução do problema,Não,0,No primeiro acionameNão fiquei na mão_ paguei por um serviço que Não utilizei e precisei reclamar para ter o valor devolvido em crédito para a próximo viagem. Me senti lesada pela empresa que se apropriou de um valor por um servi?o que Não foi prestado e ainda por cima Não me restitui.
360287970255687108,87965539350344.00,SELF HELP,Pop,driver,550173375,Pediu rota espec¨ªfica e mudou o custo da viagem,AtendimeNão da equipe 99,Sim,10,
360287970255765855,87965557171639.00,SELF HELP,Pop,driver,550173063,Achados e Perdidos,AtendimeNão da equipe 99|Solução do problema,Sim,9,
360287970255840923,0.00,PHONE,Pop,driver,550172715,Meu cadastro Não atualiza,Solução do problema,Sim,0,Fico satisfeito com atenção dedicada ao chamado.
360287970255909888,0.00,PHONE,Pop,driver,960009488,BPP | Como cadastro/altero a senha do Cartão,Tempo de espera para ser chamado,Sim,10,
360287970256138803,0.00,PHONE,Pop,passenger,550174283,Não consigo me cadastrar,AtendimeNão da equipe 99,Sim,8,Apesar do transtorno que sempre tive por causa da estimativa de Cartão _ que de vez em quaNão d¨¢ errado.. Sem Cartão ra mais...o atendimento Não e bom!!.
360287970256199858,87965532720212.00,HELP CENTER,Taxi,driver,550173499,Passageiro Não conseguiu pagar,Solução do problema,Sim,10,
360287970256595837,87965637279291.00,SELF HELP,Pop,passenger,550174451,Não coNãordo com a taxa de cancelamento Não,Solução do problema,Não,3,Não resolveu meu problema 
360287970256844248,87965658185178.00,SELF HELP,Compartilha,passenger,960001822,Motorista Não apareceu | sem cobran?a,AtendimeNão da equipe 99,Sim,8,Achei p¨¦ssimo.Meroubsram o bônus e ainda fui acusado de fraude injustamente.
360287970256878136,87965660244820.00,SELF HELP,Pop,passenger,550174995,Motorista Não apareceu | sem cobrança,Solução do problema,Sim,10,Reportei por duas vezes um problema para a central 99 e a resposta que recebi Não me deixou satisfeita. Se eu estou queixa Não de um motorista_ o m¨ªnimo que eu espero dos responsáveis do aplicativo ¨¦ uma resposta positiva e esse feedback Não acontece com voc¨ºs
360287970256918420,0.00,CAT,Pop,driver,550172679,Como altero/adiciono carro?,Solução do problema,Sim,10,
360287970257012142,87965660610915.00,SELF HELP,Pop,passenger,550175199,Cartão diferente da estimativa (Cartão fixo),Solução do problema,Sim,10,Gosta que sobessem o atendimeNão e 10_ quero iNãorma que plo aplicativo da muito erro
